,title,video_url,views,video_age,clean_views
0,Reading my favorite tweets from YouTube,https://www.youtube.com/watch?v=vVzA70bWh3g,206K views,3 weeks ago,206000
1,Reading my favorite tweets from YouTube,https://www.youtube.com/watch?v=vVzA70bWh3g,206K views,3 weeks ago,206000
2,The ACTUALLY GOOD YOUTUBERS Iceberg,https://www.youtube.com/watch?v=-dcuAAMUicw,671K views,1 month ago,671000
3,"I hate jumpscares, so I made an app.",https://www.youtube.com/watch?v=NQf8psQT9MQ,341K views,1 month ago,341000
4,Sssniperwolf came to our home last night. It's time for YouTube to step in.,https://www.youtube.com/watch?v=aeMHMnOWkw4,4.8M views,2 months ago,4800000
5,The WAR on stolen content!,https://www.youtube.com/watch?v=eI0VD3Hut0Y,1.4M views,3 months ago,1400000
6,The Final YIAY on Jacksfilms. (YIAY #624),https://www.youtube.com/watch?v=nhd5r-FtY6s,990K views,4 months ago,990000
7,We fixed the Velma show (YIAY #622),https://www.youtube.com/watch?v=dTN-oRT9WT0,369K views,11 months ago,369000
8,We fixed the Velma show (YIAY #622),https://www.youtube.com/watch?v=dTN-oRT9WT0,369K views,11 months ago,369000
9,THE WORST CHRISTMAS GIFTS of 2022 (YIAY #621),https://www.youtube.com/watch?v=sZd7IFmEltI,552K views,11 months ago,552000
10,Twitter is dead lol (YIAY #620),https://www.youtube.com/watch?v=o0vleQlYq5I,295K views,1 year ago,295000
11,I did it again. (YIAY #619),https://www.youtube.com/watch?v=wXlUPltRH58,307K views,1 year ago,307000
12,Thanks(I hate it)giving (YIAY #618),https://www.youtube.com/watch?v=iJ9c6EsQ5as,355K views,1 year ago,355000
13,Twitter is dying lol (YIAY #617),https://www.youtube.com/watch?v=RgOvZQXx9ho,404K views,1 year ago,404000
14,I made a free game. Yes I'll elaborate.,https://www.youtube.com/watch?v=a1oJo2dMXPw,332K views,1 year ago,332000
15,I made a free game. Yes I'll elaborate.,https://www.youtube.com/watch?v=a1oJo2dMXPw,332K views,1 year ago,332000
16,Living on a FAT bus for a month (JackAsk: Tour Edition),https://www.youtube.com/watch?v=mVj55EXt9bc,293K views,2 years ago,293000
17,These FOOLS got tattoos of me (JackAsk #124),https://www.youtube.com/watch?v=HzOXmQQsETQ,483K views,2 years ago,483000
18,I caught my wife sleepwalking (JackAsk #123),https://www.youtube.com/watch?v=i2eF1lHU3OY,434K views,2 years ago,434000
19,There's a jumpscare in this video at 5:32 (JackAsk #122),https://www.youtube.com/watch?v=Ux712SUOxQo,547K views,2 years ago,547000
20,Danny Gonzalez stole our dog's name (emotional) (Jackask #121) (crying),https://www.youtube.com/watch?v=060Tw5UY_VQ,533K views,2 years ago,533000
21,Live Laugh̴̛̜͕̟͓͙͈͛̎̈̆̊̈́͒̉̋̓̂̚͝ ̵̬̻̓̔͒̃͛͛̈͆͑̇͘͠L̷̰̞̥̦̇̓̉͗͛͆͘͝͝͝͠O̵̗̳̗̱͑̈́́́̃͋̾͐͝L̶̔̋̀́́̀̃̏(YGS #145),https://www.youtube.com/watch?v=DGcO2IWP4is,407K views,2 years ago,407000
22,Live Laugh̴̛̜͕̟͓͙͈͛̎̈̆̊̈́͒̉̋̓̂̚͝ ̵̬̻̓̔͒̃͛͛̈͆͑̇͘͠L̷̰̞̥̦̇̓̉͗͛͆͘͝͝͝͠O̵̗̳̗̱͑̈́́́̃͋̾͐͝L̶̔̋̀́́̀̃̏(YGS #145),https://www.youtube.com/watch?v=DGcO2IWP4is,407K views,2 years ago,407000
23,I give up. (YGS #144),https://www.youtube.com/watch?v=_GbcSXgV0K0,328K views,2 years ago,328000
24,But why tho (YGS #143),https://www.youtube.com/watch?v=9EpcmqnKiKY,354K views,2 years ago,354000
25,Holy crap Lois (YGS #142),https://www.youtube.com/watch?v=wNQS3GFv-ec,382K views,2 years ago,382000
26,Hamilton really fell off... (YGS #141),https://www.youtube.com/watch?v=zoyvvjRNLFk,358K views,2 years ago,358000
27,Why did this get so many likes? (YGS #140),https://www.youtube.com/watch?v=y0_vKH0phDs,411K views,2 years ago,411000
28,"$1,000,000 DOG VS. $10,000 DOG VS. $1 DOG",https://www.youtube.com/watch?v=fBw5gbDugiY,269K views,10 months ago,269000
29,"$1,000,000 DOG VS. $10,000 DOG VS. $1 DOG",https://www.youtube.com/watch?v=fBw5gbDugiY,269K views,10 months ago,269000
30,Goodbye 2022.,https://www.youtube.com/watch?v=mYZ4RsGnbNg,170K views,11 months ago,170000
31,ROYALTY FREE CHRISTMAS SONGS 9 (plus 1-8),https://www.youtube.com/watch?v=1HaoFtuZa6U,380K views,1 year ago,380000
32,Glitter Bomb 6.0 vs. Package Thieves,https://www.youtube.com/watch?v=hPx-RiBKXtQ,276K views,1 year ago,276000
33,Review: Avatar 2 The Way of Water,https://www.youtube.com/watch?v=LfT04-vbPXM,208K views,1 year ago,208000
34,Can you seduce the Grinch?,https://www.youtube.com/watch?v=66hnKfEsnG0,298K views,1 year ago,298000
35,The WTF Blanket (Snuggie Parody),https://www.youtube.com/watch?v=h05ZQ7WHw8Y,25M views,14 years ago,25000000
36,The WTF Blanket (Snuggie Parody),https://www.youtube.com/watch?v=h05ZQ7WHw8Y,25M views,14 years ago,25000000
37,FIXING YOUR FLAGS (YIAY #276),https://www.youtube.com/watch?v=MO0zP-SB5hk,20M views,7 years ago,20000000
38,Top 10 YouTube Videos,https://www.youtube.com/watch?v=VDB65S6rCC0,15M views,9 years ago,15000000
39,PRO FIDGET SPINNER TRICKS (very cool),https://www.youtube.com/watch?v=Ge_22K0UTIY,14M views,6 years ago,14000000
40,YOUR GRAMMAR SUCKS #100,https://www.youtube.com/watch?v=AEmPk7uAQ34,13M views,8 years ago,13000000
41,"YOUR AWFUL, AWFUL INTROS (YIAY #370)",https://www.youtube.com/watch?v=6jdCzTo4mN0,13M views,6 years ago,13000000
42,FIX YOUR TWITTER BIOS 9,https://www.youtube.com/watch?v=83xXctnut-0,780K views,2 years ago,780000
43,FIX YOUR TWITTER BIOS 9,https://www.youtube.com/watch?v=83xXctnut-0,780K views,2 years ago,780000
44,FIX YOUR TWITTER BIOS 8,https://www.youtube.com/watch?v=y-P3O218gms,2.4M views,4 years ago,2400000
45,FIX YOUR TWITTER BIOS 7,https://www.youtube.com/watch?v=ihfIoN3xiLo,2.7M views,5 years ago,2700000
46,FIX YOUR TWITTER BIOS 6,https://www.youtube.com/watch?v=rNYmzSvqfk4,4.1M views,6 years ago,4099999
47,FIXING YOUR TWITTER BIOS 5,https://www.youtube.com/watch?v=vzKWwdn3nC4,4.2M views,6 years ago,4200000
48,FIXING YOUR TWITTER BIOS 4,https://www.youtube.com/watch?v=bDTQhMpcHb4,5.4M views,6 years ago,5400000
49,The WTF Blanket (Snuggie Parody),https://www.youtube.com/watch?v=h05ZQ7WHw8Y,25M views,14 years ago,25000000
50,The WTF Blanket (Snuggie Parody),https://www.youtube.com/watch?v=h05ZQ7WHw8Y,25M views,14 years ago,25000000
51,Breaking Dawn in a Minute (Parody),https://www.youtube.com/watch?v=u3hvYhEecww,3M views,11 years ago,3000000
52,The Jesus Christ Sponge (Shamwow Parody),https://www.youtube.com/watch?v=lsTLUSMOgas,11M views,14 years ago,11000000
53,Twilight: Eclipse Trailer (Parody),https://www.youtube.com/watch?v=KHfyad6Jitk,7.6M views,13 years ago,7600000
54,WTF Blanket 3: Awful Pun Overload,https://www.youtube.com/watch?v=NlhDAN8Dwnw,3.1M views,14 years ago,3100000
55,Paper Bag (One Direction Parody),https://www.youtube.com/watch?v=NGvv_gKZaMs,2M views,11 years ago,2000000
56,DUBSTEP SOLVES EVERYTHING 3,https://www.youtube.com/watch?v=vygiNAk8d9Y,4.8M views,10 years ago,4800000
57,DUBSTEP SOLVES EVERYTHING 3,https://www.youtube.com/watch?v=vygiNAk8d9Y,4.8M views,10 years ago,4800000
58,MANSION (feat. 2toesup),https://www.youtube.com/watch?v=2v6-eznD_2o,797K views,2 years ago,797000
59,DUBSTEP SOLVES EVERYTHING,https://www.youtube.com/watch?v=ZFQ5EpO7iHk,4.1M views,12 years ago,4099999
60,EPIC HARRY POTTER SONG,https://www.youtube.com/watch?v=TWXEF_K_b-Q,1M views,12 years ago,1000000
61,CENSORED SONG,https://www.youtube.com/watch?v=KGGlKHxYKg4,2M views,12 years ago,2000000
62,All I Want for Christmas is a Girlfriend,https://www.youtube.com/watch?v=8U1pAknR_FA,840K views,16 years ago,840000
63,48 Hour Film Fest WINNERS,https://www.youtube.com/watch?v=TDZzAbJd1V4&list=PLiWL8lZPZ2_lTlANZg0QjRaR-dDmr6w18&pp=iAQB,,,0
